attemptdate,attemptresult,userid,type,maxsessionuid
2020-03-01 00:01:22,SYSLOGOUT,HBA1633,EXPRESS,873258
2020-03-01 01:01:24,SYSLOGOUT,HBA2266,LIMITED,873665
2020-03-01 01:02:01,SYSLOGOUT,HBA1758,AUTHORIZED,873787
2020-03-01 01:02:02,SYSLOGOUT,HBA1726,LIMITED,873366
2020-03-01 01:11:15,LOGIN,HBA1659,LIMITED,873260
2020-03-01 01:41:59,TIMEOUT,HBA1659,LIMITED,873260
2020-03-01 02:11:35,LOGIN,HBA1824,AUTHORIZED,873490
2020-03-01 02:23:32,LOGIN,HBA1789,LIMITED,873893
2020-03-01 02:42:45,TIMEOUT,HBA1824,AUTHORIZED,873490
2020-03-01 02:57:50,TIMEOUT,HBA1789,LIMITED,873893
2020-03-01 03:11:59,LOGIN,HBA1726,LIMITED,873902
2020-03-01 03:12:47,LOGIN,HBA1885,LIMITED,873903
2020-03-01 03:17:56,LOGOUT,HBA1885,LIMITED,873903
2020-03-01 03:28:14,LOGOUT,HBA1726,LIMITED,873902
2020-03-01 03:30:58,LOGIN,HBA1824,AUTHORIZED,874002
2020-03-01 03:44:08,LOGIN,HBA2225,EXPRESS,874102
2020-03-01 03:47:05,LOGIN,HBA1888,AUTHORIZED,874202
2020-03-01 03:54:42,LOGOUT,HBA2225,EXPRESS,874102
2020-03-01 04:11:03,TIMEOUT,HBA1824,AUTHORIZED,874002
2020-03-01 04:24:55,TIMEOUT,HBA1888,AUTHORIZED,874202
2020-03-01 04:30:35,LOGIN,HBA1869,LIMITED,874302
2020-03-01 04:51:39,LOGIN,HBA2254,EXPRESS,873904
2020-03-01 04:51:44,LOGIN,HBA1700,LIMITED,874402
2020-03-01 05:06:07,TIMEOUT,HBA1869,LIMITED,874302
2020-03-01 05:18:52,LOGIN,HBA2135,LIMITED,874103
2020-03-01 05:21:58,TIMEOUT,HBA2254,EXPRESS,873904
2020-03-01 05:36:30,LOGIN,HBA1676,AUTHORIZED,873905
2020-03-01 05:36:38,LOGOUT,HBA1676,AUTHORIZED,873905
2020-03-01 05:40:35,LOGIN,HBA1676,AUTHORIZED,874502
2020-03-01 05:40:50,TIMEOUT,HBA1700,LIMITED,874402
2020-03-01 05:41:35,LOGOUT,HBA1676,AUTHORIZED,874502
2020-03-01 05:50:52,LOGIN,HBA1676,AUTHORIZED,874503
2020-03-01 05:50:52,LOGOUT,HBA1676,AUTHORIZED,874503
2020-03-01 05:58:33,LOGIN,HBA2023,AUTHORIZED,874003
2020-03-01 06:01:36,SYSLOGOUT,HBA1726,LIMITED,873902
2020-03-01 06:03:16,TIMEOUT,HBA2135,LIMITED,874103
2020-03-01 06:04:20,LOGIN,HBA1676,AUTHORIZED,873906
2020-03-01 06:04:33,LOGOUT,HBA1676,AUTHORIZED,873906
2020-03-01 06:06:42,LOGIN,HBA1676,AUTHORIZED,874602
2020-03-01 06:06:53,LOGOUT,HBA1676,AUTHORIZED,874602
2020-03-01 06:07:02,LOGIN,HBA1676,AUTHORIZED,874603
2020-03-01 06:07:07,LOGOUT,HBA1676,AUTHORIZED,874603
2020-03-01 06:07:19,LOGIN,HBA1676,AUTHORIZED,874504
2020-03-01 06:07:29,LOGOUT,HBA1676,AUTHORIZED,874504
2020-03-01 06:07:39,LOGIN,HBA1676,AUTHORIZED,873907
2020-03-01 06:07:52,LOGOUT,HBA1676,AUTHORIZED,873907
2020-03-01 06:08:03,LOGIN,HBA1676,AUTHORIZED,874702
2020-03-01 06:08:16,LOGOUT,HBA1676,AUTHORIZED,874702
2020-03-01 06:08:26,LOGIN,HBA1676,AUTHORIZED,874104
2020-03-01 06:08:35,LOGOUT,HBA1676,AUTHORIZED,874104
2020-03-01 06:08:44,LOGIN,HBA1676,AUTHORIZED,874403
2020-03-01 06:08:56,LOGOUT,HBA1676,AUTHORIZED,874403
2020-03-01 06:09:10,LOGIN,HBA1676,AUTHORIZED,874802
2020-03-01 06:09:26,LOGOUT,HBA1676,AUTHORIZED,874802
2020-03-01 06:09:37,LOGIN,HBA1676,AUTHORIZED,874902
2020-03-01 06:09:50,LOGOUT,HBA1676,AUTHORIZED,874902
2020-03-01 06:10:00,LOGIN,HBA1676,AUTHORIZED,874203
2020-03-01 06:10:14,LOGOUT,HBA1676,AUTHORIZED,874203
2020-03-01 06:10:24,TIMEOUT,HBA2023,AUTHORIZED,874003
2020-03-01 06:10:25,LOGIN,HBA1676,AUTHORIZED,874004
2020-03-01 06:10:43,LOGOUT,HBA1676,AUTHORIZED,874004
2020-03-01 06:10:54,LOGIN,HBA1676,AUTHORIZED,874303
2020-03-01 06:11:10,LOGOUT,HBA1676,AUTHORIZED,874303
2020-03-01 06:11:21,LOGIN,HBA2023,AUTHORIZED,874005
2020-03-01 06:11:21,LOGOUT,HBA2023,AUTHORIZED,874005
2020-03-01 06:11:29,LOGIN,HBA1676,AUTHORIZED,874803
2020-03-01 06:11:34,LOGOUT,HBA1676,AUTHORIZED,874803
2020-03-01 06:12:13,LOGIN,HBA2023,AUTHORIZED,874006
2020-03-01 06:25:22,LOGIN,HBA1654,LIMITED,874304
2020-03-01 06:27:19,LOGIN,HBA1654,LIMITED,873908
2020-03-01 06:28:04,LOGIN,HBA1654,LIMITED,874105
2020-03-01 06:30:05,LOGIN,HBA1654,LIMITED,874204
2020-03-01 06:32:59,LOGIN,HBA1722,LIMITED,874804
2020-03-01 06:40:43,TIMEOUT,HBA1722,LIMITED,874804
2020-03-01 06:40:43,LOGIN,HBA1916,EXPRESS,874805
2020-03-01 06:40:44,LOGOUT,HBA1916,EXPRESS,874805
2020-03-01 06:40:50,LOGIN,HBA1916,EXPRESS,874806
2020-03-01 06:49:36,TIMEOUT,HBA1654,LIMITED,874105
2020-03-01 06:49:37,LOGIN,HBA1722,LIMITED,874106
2020-03-01 06:51:37,TIMEOUT,HBA2023,AUTHORIZED,874006
2020-03-01 06:51:37,LOGIN,HBA1873,LIMITED,874007
2020-03-01 06:54:02,TIMEOUT,HBA1654,LIMITED,874204
2020-03-01 06:54:02,LOGIN,HBA1654,LIMITED,874205
2020-03-01 06:54:03,LOGOUT,HBA1654,LIMITED,874205
2020-03-01 06:54:05,LOGIN,HBA1654,LIMITED,874206
2020-03-01 06:58:09,TIMEOUT,HBA1654,LIMITED,874304
2020-03-01 07:00:41,RESTART,HBA1654,LIMITED,873908
2020-03-01 07:01:39,SYSLOGOUT,HBA2225,EXPRESS,874102
2020-03-01 07:01:39,SYSLOGOUT,HBA1824,AUTHORIZED,874002
2020-03-01 07:06:08,TIMEOUT,HBA1722,LIMITED,874106
